[14-09-2025 20:18:39] Plate: ABC1234, Status: Allowed
[14-09-2025 20:19:02] Plate: q, Status: Denied
[14-09-2025 20:19:16] Plate: ABC1234, Status: Allowed
[14-09-2025 20:21:58] Plate: ABC1234, Status: Allowed
[17-09-2025 09:47:28] Plate: XYZ5678, Status: Allowed
[17-09-2025 09:55:50] Plate: 1231232, Status: Allowed
[17-09-2025 10:20:06] Plate: abcd1234, Status: Denied
[17-09-2025 10:20:18] Plate: ABCD1234, Status: Denied
[17-09-2025 10:20:43] Plate: ABC123, Status: Denied
[17-09-2025 10:20:52] Plate: ABC1234, Status: Allowed
[17-09-2025 10:37:09] Plate: manger, Status: Denied
[17-09-2025 11:19:34] Plate: abcd1234, Status: Denied
[17-09-2025 11:19:42] Plate: abc1234, Status: Denied
[17-09-2025 11:19:50] Plate: abcd123, Status: Denied
[17-09-2025 11:20:13] Plate: ABC1234, Status: Allowed
[17-09-2025 11:36:22] Plate: testlog, Status: Denied
[17-09-2025 11:36:34] Plate: XYZ5678, Status: Allowed
[17-09-2025 11:36:53] Plate: xzcxs, Status: Denied
[17-09-2025 11:37:03] Plate: LMN8901, Status: Allowed
[17-09-2025 11:37:38] Plate: a, Status: Allowed
[17-09-2025 11:37:47] Plate: testlog, Status: Allowed
[17-09-2025 11:37:57] Plate: egrhdgfm, Status: Denied
[17-09-2025 12:10:15] Plate: abc, Status: Denied
[17-09-2025 12:10:23] Plate: abcd123, Status: Denied
[17-09-2025 12:11:09] Plate: abcd1234, Status: Allowed
